rank,name,price,rating,rating_count,purchase_count,wish_count,link
1,[친환경 수경재배] 유럽 샐러드 채소 야채 1kg 유러피안 버터헤드 로메인 상추 쌈채소,5900,4.88,56000,51000,5362,https://cr.shopping.naver.com/adcr?x=HZbESEj8qH8ThVtDe02Hyv%2F%2F%2Fw%3D%3DsskwnaLT%2FqdGcTT6lFMQAyne4LFuvpfc9afCRo8%2FLaXn9Q4b0AOOS4pgmuR1ZszYL5Ncf91m9woU2Z7t8Hk2%2FUfTObJbsHUXl2jZFUtpkxZK3c1%2B85V%2FFz6L2psk0Q8qNdMJZWafqsucA%2FQMq%2BwLlMcVIhUTYq2J1wF4XcKD2AOWkOA3ZateG%2FY8eKxwX1E0NmV08Fgo19ukh9wEtakOSukrKJuz1c1CrKL4BlIdwUACU5P%2BT3%2BT1pMCn1t5bEwVIWwfek85jqiMNKFAQV%2BpBFt9%2BKy%2Fm0d%2BgYWHtEf61Jo4AUk0tbEb%2BPaAR8Zvsauh4hLjxmRqec8Y1LDgxdTAdDYBH%2BJ%2FcSA0gGAEP81UEQKMfma739cpvvGy%2BipeNg4pOxu%2BCnFMNShXKfmit8FulSJY%2FGaqi6zEHZv4XiwvDdUiGBFqcykwmJIctyVBeXmsdCSv%2Bjvvz15GRNUwBucFVn%2F2UQMilNK8Qa5tSbK6300sM%2Blm2z1ylRGa6UNy7OmnGGWewdFFmW3PXwD%2BGrFW1qr7R3fGxGSyCX2DcvWzf%2BF%2FTe3o9nH8EqD7IhwOBD1n8rWNx5WmSG1kaxhQzuahvXYJIxK959gnq67rKJdSxRKitsMQaT1GeCThLWAqWoI9o%2B2rGjwvOP9hT8kAY%2F4K4VAjVzRzYTEwWW0xof4V86RRHYTkNNQwlx9jrElKl%2BHoWVoWd0jB03C5aYq3HUc1IKtSSLJQZncWk8e8Ttfjz6Fs%3D&nvMid=83993355179&catId=50002211
2,[친환경 수경재배] 유럽 샐러드 채소 야채 1kg 유러피안 버터헤드 로메인 상추 쌈채소,5900,4.88,56000,51000,7166,https://cr.shopping.naver.com/adcr?x=ROT6sGY9BiY1LA0I1F22nf%2F%2F%2Fw%3D%3DsIvxZ%2BzTFDYzr1Pax6JDNkGYt1xtW6aOqw2Gxt%2FdNmIL9Q4b0AOOS4pgmuR1ZszYLZmQJ8slWOKV9U03vP62OSfTObJbsHUXl2jZFUtpkxZK3c1%2B85V%2FFz6L2psk0Q8qN0Up1EfZ9eke%2BhwyOWOYiVWvqR2unsG9Pw6XBns%2FftjJGNMg26%2F%2B4Y8kgsfd5XyPZqvQTpCtAFEbScL5dtCfNuU1To32r9VL5XNz7ag7xPIgnZNdZrL8tBnJFNAze%2FEq9%2F79z44Z93INZgmBv%2BBT%2B1oVwyj%2B1KH3PV6782Hh%2BZ7%2BKx7G3krbJiQXzryuwwOqJ79IDxsI6zyuDopor5lG98FRBV7s4sqJ0MYTvOS80u0fX8rKyLxtwT39VTNNuWlxbgMnjrdGlLzaCmYOZSNfNnMrfp%2FHs%2BxyZqfWQEjfDC7EPnO%2FIAXGlLMeM%2FIrj5oesZlqundnuxLx9V%2Buom3q5IgGbLlI2vApacBp5nGxO5ZUMqxEJi5%2F5bR%2FOL8vit4td1yaDzSPVznllWJeXigQsncZFdMnLRH5qRzHideBi8URJav6n%2BggnjGciw6eVAIoxq%2BY2xs%2B0WkCRcLN9praGa0p8lV9AIZdRBLMote7AyJenpE5VL5avk7BtqzGmHj73k4wJXA21EAovuKP1uLBCnBCo1pasyBwtFj9d2zG5x30cUgY6zwFsm7KCv8ds7PbLPm2V2WLj0oLfvtXSAq9jPg1QmAmnoJRdq4K9btjkCM0%3D&nvMid=84018577995&catId=50002211
3,당일 수확 수경재배 유러피안 샐러드 유럽채소 쌈채소 농장 로메인 버터헤드 카이피라 500g,7900,4.91,1103,3122,839,https://cr.shopping.naver.com/adcr?x=JP0EODbpDD0VuOkl%2Fn6m9P%2F%2F%2Fw%3D%3DsqLrt%2FdIA6YHp0HXKphsIzpAJ3EKFdDA8K8aN91RQ27oqYz7nrboCYzzjBMYvm2u2mpjxLV6Eesn2BWBkEVQOJlkS4NVEwHWZZeBEoUPEtNie8n03y7ok7rt2X7JHw%2BX5shyNRtxg2c3o%2FKOzzyUxP2h9VwmppBVKMR%2B%2FuFB%2BNkln0E%2B7lsL8Xc%2FJzL4VwihdwObXb9gY85HURIq4OlLzmxdWtBmrgRvrbxBRoSYh1geDvowP89LMjdrqfGBzm9Lus8ooIkZ%2FOLtNQuqbmrsbFD89lBJpLtqrwGKUZonCyELBz7%2BORHa%2BX777%2F5U82WuFRDpykpOqWZgZqWcBmVwRDUx8aDf4we%2FfVrIWoOOdTfbXKLQd%2BQ%2Fp515S1SCY9IUzs1asn6C0APfgXJNVFnJ51%2FbZcEa8b4I538PN%2BGLJtJhcSleoFxZpYEh0mGGbDRSnjXu2a4AyfSFVsFGQfflo%2B6dPI85XV%2FuDCGkP7CecEZBEkmfKgpOcCjyjafQIJDVVoYKmK79tWl8FaoQ3iidhAkfUD%2FNsqTSXMHNdjNmbx8iZwbV4z5FMH9NXYHdZSgAH4UFU3aITc4AAbVIVorv3lKGgYnRsTBxbojhSd2BZIUF46BTyMRJXFrjB7nNHFmDikYQsOiUzSYemS75R6xMZitwlNDNcVZKDYxw3r%2FqmtlRVp9JtP4h1EtjVcPXsEr%2BvIqHsrZ5BAZTv%2BnnliAa7nAN%2BQsjK6V0FLd%2Fybx7qcubNSE3OzZUT76KyqzckASmm&nvMid=88699598568&catId=50002211
4,지평농부 모듬 쌈 채소 샐러드 13종 내외 600g 1kg 로메인 케일,10900,4.87,23000,9375,1898,https://cr.shopping.naver.com/adcr?x=ci8z%2F9UNOyxrVJ0z77GiBP%2F%2F%2Fw%3D%3DsWzFwhsHnBpDqQFinImBdpq39oT8NJyEJgsQcESUFmxoyeQbwViskQtBXaUX5t0fKyRiJcV1c%2BATqVXDF%2BO%2BTZejBUFLfVgm7VpokBJmUNZWAkKE2DilvaXAH1c8fQkTa8XUSOfKHxF%2B7uckUpgElFES%2BortKzfQDWBF5GV%2FKfqEhJv3ljJo79VVIpj6%2Fm3WOyNyGOigk%2BUAWku4B%2BYGCvUsKyriRXY5yOYoMUgru25Cji%2Bapx%2FN5Tm9iNMRx4APemRUWhlsR5slqvlZG8COnM3qEMfRxZhz%2BL5VxURJqQOglXTdy6Sn%2F2yromYu89VyU3emjX8bXHQZJQZX54B1LTBRrVNl95gc9WlZ13meOPrCPo726E%2Fr2VlsVuSdy0TIsnaxXX92IZESemh2KAgULiHn05D0PPHsBC4hKJ7svxzz3lMzEWxxr7jAGssSd6VsiwzFzrpA3bXi%2FIMlhTJQa%2Fu91QR8%2FTds1rctgIL%2BLBlaqFv1QdjT148Jngeag5kdEvTM7kmT29O8hQxsImaurzGCnWiNwfksXs%2BdXHlyyEyqN%2BXEXfguPxcbOKQjg9xWrsWv55IvxDrGqbeYqdoZGfTYCsnR0WMzQsYZmBZP01TqD4rZ0GixpkTyOtdfdGj5f8FdBVN0ZrdlgolrogoXGvaoUZ1NXS78tK8ySLvnW2iwGruH08DlKshetxY8KUEZb&nvMid=82445364201&catId=50002211
5,당일수확 산지직송 모듬 쌈채소 유럽 샐러드 유러피언 상추 채소 로메인 케일,10000,4.88,1112,5467,633,https://cr.shopping.naver.com/adcr?x=HD4qa7TxrchK05SOVk62c%2F%2F%2F%2Fw%3D%3Ds2hEdFYAh9cB9V9c%2Br5ZFZ8dHkC%2Bf%2Bre6eOLx0REfd7oyeQbwViskQtBXaUX5t0fKK9NHGaJg8umYZ2%2BkcTghf%2BjBUFLfVgm7VpokBJmUNZWAkKE2DilvaXAH1c8fQkTa8XUSOfKHxF%2B7uckUpgElFES%2BortKzfQDWBF5GV%2FKfqEhJv3ljJo79VVIpj6%2Fm3WOTyQ5bfcH28tm4fYq7YrNGU1To32r9VL5XNz7ag7xPIgnZNdZrL8tBnJFNAze%2FEq9%2F79z44Z93INZgmBv%2BBT%2B1oVwyj%2B1KH3PV6782Hh%2BZ7%2BKx7G3krbJiQXzryuwwOqJfL6knNHg6OzwaE62Wy6kFWKpElnObddeUrMBFPH7bxaPo726E%2Fr2VlsVuSdy0TIsqWOeYaA0RCk7GR%2FQGxLY2xEZ6ZRrhB1rTwoRo%2BF8yKHGZ06kW77Ef3kcbajNuUxiJuvsK%2FzM0obRtLXerBMZKN50ELbOBEsPJdolNkxjv9OaY%2Bw5%2BVnWpiFZ%2Bs5UxGnK2u%2BMqXIEQs7aauwaQLqUulUAzff8SMmYj678%2BblUlQPCROXbsQ7QAnDHIxjhX4xnJvAM15d%2Bdrt%2FIz%2F%2BqbDcZuHlRejNlgLtMdjNZ48bC2vaYdHWzcRFUhJfbGOJu3fCZrh%2Fy56J4JJAFHlv5LTOJ%2BbCO28%2BMMqQyiGwbXfamFVaHh%2Fs65Yit0q%2F0F5DW4i4zY6of2Xpggjm6A4Z8HgJhg%3D%3D&nvMid=87575577127&catId=50002211
6,산지직송 유러피안 샐러드 야채 1kg 로메인 상추 버터헤드 모듬쌈 쌈채소,7900,4.9,3887,11000,1778,https://cr.shopping.naver.com/adcr?x=TT7QBurw9epI6oMp%2BWi%2B9P%2F%2F%2Fw%3D%3DscFxc2I%2FsQtwCTMSYcnwc2MXQ1Mba4BCoCqzzQvMK7lb9Q4b0AOOS4pgmuR1ZszYLg%2BB5VHlLdnPPpVYBbSz7XPTObJbsHUXl2jZFUtpkxZK3c1%2B85V%2FFz6L2psk0Q8qNdMJZWafqsucA%2FQMq%2BwLlMcVIhUTYq2J1wF4XcKD2AOWkOA3ZateG%2FY8eKxwX1E0N%2FB9h1WWJOGfMmW1Zs2dYwaPxycAU8NZf7PdTum0uClt0gVakSBpfCgo6HJJ4HFOPsQMhll98L6682Au7Zj6fy%2F4Oit9u1fKdKpCYRa%2FBbrs1QmeK3ZPITzKHcbEnR%2BI8kgIPZocSLKfSv4SEcAznGToDv3wL%2BPkD6xjXh8PtHWHX8rKyLxtwT39VTNNuWlxbiW%2BPloGCeeT8B339Qs3VeezmT%2BCLivBrkfaaYnalXBArZZOJoyG%2BJ2qiYjWRjdi78Pwwd6WJwJxhVol1JEgMWktIAM2F2zeQcw8qsdrto%2FBJ6KFqlaUL2o4jL7o3oNr%2BsWo2GF4QbcXsznYbckGFGdun2ocIpt3HYV9WlK5V0BCr5jbGz7RaQJFws32mtoZrlsXQ%2BXpqeGOrJxkRyN3kauIYThQagSMN2rdC0yuNdlTMB9zevbM6G6SuxBYLa4pUVtbWafgP5nCZxeAm3sHQqj5F3vaFxSN5ZSTZje%2Fuf%2FN8svJ0Uc5fy0QiyKM%2FLU%2B3Bq7h9PA5SrIXrcWPClBGWw%3D%3D&nvMid=88264118828&catId=50002211
7,[초록이들]500g/1kg 유럽 샐러드 채소 유러피안 상추 쌈 버터헤드 카이피라 프릴등,5400,4.94,6877,10000,2082,https://cr.shopping.naver.com/adcr?x=9V6WZEtjYlpgR4%2BEWBPMiP%2F%2F%2Fw%3D%3DsSjXD3b%2BCEPfFQKwDsm7d71LvRp9FJwaB18olFW8tLq4qYz7nrboCYzzjBMYvm2u2W4Nw8giuM8NG3ho7BZk4OFkS4NVEwHWZZeBEoUPEtNie8n03y7ok7rt2X7JHw%2BX5shyNRtxg2c3o%2FKOzzyUxP2h9VwmppBVKMR%2B%2FuFB%2BNkln0E%2B7lsL8Xc%2FJzL4Vwihdsm90e2nKutpccC4cQU7pPOGAPKrqLwyLamLwDLpIitJxmZGIeWk6Rq6mMois02%2FdNpKdd8ZK8JeLDlaenCLCC3Nv%2FybmibrP5xKJrMikESgHs%2F2PHkpmvWjL2qy1nHubdwtbsMUQO1o7iVKedqq3wRIMVFgCxz%2BbulmEPoqwgOS3jcnOeTv%2BBtNAvJUVklfSAyEIpAUMz1xGAu%2FKaChvL3x7UnRR%2F18rCroNEI7XuXlhZxYJ%2F6v9LcybtpU8KfEjX02bMqIq8N8qekjTaMGB%2FW2V%2FxQM6JkOtLirb%2BEQeaQRxq6efCgQMmCtyW%2FVWsP90ae1FreAtpo5ze1aL8mmXq7V85U%2FjARlAmRqjGQ419vGaEkJ%2B2ixQze%2FXDseuaBKUl3kAOsWfrWtNtk%2FtQmaADfvE90%2BOuC41ayk%2B%2F1TSmF8shwqGE4ppE1F5cJ60im0YbZhd4T4RQx8sjQS2T1B291Q%2FdfFTPJDu8fOohwRCfjmdRKjtjuW5BPwBtPggQozA35CyMrpXQUt3%2FJvHupy5s1ITc7NlRPvorKrNyQBKaY%3D&nvMid=86559580109&catId=50002211
8,유러피안샐러드 쌈채소 샐러드야채 1kg 유럽상추 버터헤드 프릴아이스,6900,4.82,23000,33000,8502,https://cr.shopping.naver.com/adcr?x=BUvwUZcn7AYuPtHvSV%2B4g%2F%2F%2F%2Fw%3D%3DsLJYOeW78K7xleiTsSQBo6tzTD%2FPMzxlL2L0DG0ScIzD9Q4b0AOOS4pgmuR1ZszYLNk3neRtOYkqyeKk7AiH4IPTObJbsHUXl2jZFUtpkxZK3c1%2B85V%2FFz6L2psk0Q8qNdMJZWafqsucA%2FQMq%2BwLlMcVIhUTYq2J1wF4XcKD2AOWkOA3ZateG%2FY8eKxwX1E0NFoPpBQx33UlkpuOgSKRVqUrKJuz1c1CrKL4BlIdwUACU5P%2BT3%2BT1pMCn1t5bEwVIWwfek85jqiMNKFAQV%2BpBFt9%2BKy%2Fm0d%2BgYWHtEf61Jo4AUk0tbEb%2BPaAR8Zvsauh4gwZEV9MAehAj7rxxxCQKTmqIB%2FcGwzTCGn9KqRuVxSIfma739cpvvGy%2BipeNg4pO1Lr83PlvggdGNgRW3U0FU4Pk2vryFU100lCcPyTJO%2BDG0BBf7gjBkDQdGTPU%2FbH6nlLopR%2BmOtA%2FPlyvTQLyz6dciwR%2BV5cc8A3WpJ8gvH1RDNdrC4tyvYA5ru%2BvKkc8IyOzGa8QrKc%2BhJXnO%2FaaA06DLv0FRyX7cmSKZNGK8UcGqsI2RJyDI%2FBGF0IC%2BD6mfEhs75HC0qi1Jn5bfBYV9dph0dbNxEVSEl9sY4m7d8JENaWNQZipqyjD86wQtiSBVzbJ4acaatnWOKVOfy2GNc5N0oWMmxXI4oADlwQdrmfHICEQpPL7Rm%2B2fyhjEhHR&nvMid=86461120086&catId=50002211
9,[친환경 무농약] 유럽 샐러드 유럽 상추채소 1kg 모듬채소,6900,4.88,5287,2777,788,https://cr.shopping.naver.com/adcr?x=81UZ0Qnn2O5oF0fyt7PKKv%2F%2F%2Fw%3D%3DsSj5FtZ3ahtQOlf76slRr3uRKEkkF8c2gtIhwl8u5VDsyeQbwViskQtBXaUX5t0fKPYntxUzrk8rMG4%2BWKPi6aujBUFLfVgm7VpokBJmUNZWAkKE2DilvaXAH1c8fQkTa8XUSOfKHxF%2B7uckUpgElFES%2BortKzfQDWBF5GV%2FKfqEhJv3ljJo79VVIpj6%2Fm3WO%2BXiWTKh%2F5%2FkaID7M%2BXzOzUsKyriRXY5yOYoMUgru25Cji%2Bapx%2FN5Tm9iNMRx4APemRUWhlsR5slqvlZG8COnM3qEMfRxZhz%2BL5VxURJqQOglXTdy6Sn%2F2yromYu89VyUyvTnK4k2xRNJqcaaDBIpdudUDHy0dLoOW%2BbVjfBHV8ePo726E%2Fr2VlsVuSdy0TIsyouG3vh%2BVlSrzeGmgNmTn3ghTFgkRkh%2BqnI17zn5txEuQ5kMS4%2BGd6ezfVmkrr9Y9P8OlI9UTeFDumKOwJLFcts%2F5%2FXd5odFNVsTCiifQmZnpYDmJW7UQh94sikEO02DAkC3JdDHyqAi2WKvEIrUBRZn9YKbHQZiMIgFgzMYMVPihVGt3%2BCE98TmH6V3GBG76uSvGSNJ%2FpUTvHLbp7Lg6y%2B2%2BubbqrfO033X3tKXFVkn7nLnVhXNP2hUYypV7cphQQSs6ecnSEUvrxTMdmHfMldznR4EhPC6BI08fc6TT2xWkbDrUFJ2hBG8QaB8WVzn&nvMid=86027920535&catId=50002211
10,멋진농부 모듬 쌈채소 샐러드용 유럽피안 루꼴라 와일드루꼴라 로메인 쌈케일 초신선 당일수확,10900,4.9,2182,0,5981,https://cr.shopping.naver.com/adcr?x=TL%2BvDGIQGEFeNihr5NQPx%2F%2F%2F%2Fw%3D%3Ds4N%2FYy92bFPeiBOCECt2roAeu8FAGod5ByZI7z6AeuhD9Q4b0AOOS4pgmuR1ZszYLGaUNctHQaAqkxetPLaAaPfTObJbsHUXl2jZFUtpkxZK3c1%2B85V%2FFz6L2psk0Q8qNdMJZWafqsucA%2FQMq%2BwLlMcVIhUTYq2J1wF4XcKD2AOWkOA3ZateG%2FY8eKxwX1E0N0zWkP0S%2B3gZO9WBkb2iRS0rKJuz1c1CrKL4BlIdwUACU5P%2BT3%2BT1pMCn1t5bEwVIWwfek85jqiMNKFAQV%2BpBFt9%2BKy%2Fm0d%2BgYWHtEf61Jo4AUk0tbEb%2BPaAR8Zvsauh4rw2hh1OOPtyU%2B7ip7CZ7BULT3R1RWrRPOKiI3TY6wsoI2YS92VTPP7KXRs5j1QyAsx5oPDexFfmvkPh9RQ703P9KwYubFjfp%2B%2Fimfbm9SLHsDXBXdTWQcFO7RhssZM1W3nQQts4ESw8l2iU2TGO%2F0z%2Bi7cKkR8BnoW%2B63rgxPKd%2FzVGxKpvDcWEcZq%2BbdzGg0JpbReTJvtRm3v5EyLpXKP4w7ItK%2FgEhbGAhOxXyhLGg3FuZf%2FkTXg2ncbhZdX%2BnBSKH6cG%2FEZoYQEpHtXnY2fSJeuVi5v4wCAa6oH3zv4UKG3zJFvNXu5sYqcTPJ2YqiafNuN8c92yB9yur27ojQ7WaWKVujUuchPssrpq55pSgCsULwsZPm2pZwcDsoRHAEWSuPlBs%2BXS02L2cLQoOu29TZjqEQTAbFzUBl8432wvhVEAf6wwM5tqtSh0bB5Hx&nvMid=86095550545&catId=50002211
